code,description,status,superseded_by
61169100,Of wool or fine animal hair,current,
51054000,"Coarse animal hair, carded or combed",current,
24013000,Tobacco refuse,current,
84597000,Other threading or tapping machines,current,
61045900,Of other textile materials,current,
82031000,"Files, rasps and similar tools",current,
85286200,Capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471,current,
84339000,Parts,current,
81042000,Waste and scrap,current,
03039900,Other,current,
72029100,Ferro-titanium and ferro-silico-titanium,current,
30025100,Cell therapy products,current,
38237000,Industrial fatty alcohols,current,
42034000,Other clothing accessories,current,
29161600,Binapacryl (ISO),current,
62053000,Of man-made fibres,current,
84393000,Machinery for finishing paper or paperboard,current,
03019300,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",current,
84013000,"Fuel elements (cartridges), non-irradiated (Euratom)",current,
70159000,Other,current,
39173200,"Other, not reinforced or otherwise combined with other materials, without fittings",current,
84781000,Machinery,current,
70191200,Rovings,current,
59080000,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas-mantle fabric therefor, whether or not impregnated",current,
82060000,"Tools of two or more of headings 8202 to 8205, put up in sets for retail sale",current,
81099900,Other,current,
44050000,Wood wool; wood flour,current,
07136000,Pigeon peas (Cajanus cajan),current,
75011000,Nickel mattes,current,
29037400,"Chlorodifluoroethanes (HCFC-142, 142b)",current,
84774000,Vacuum-moulding machines and other thermoforming machines,current,
84322100,Disc harrows,current,
70197100,Veils (thin sheets),current,
82051000,"Drilling, threading or tapping tools",current,
72069000,Other,current,
28521000,Chemically defined,current,
71141900,"Of other precious metal, whether or not plated or clad with precious metal",current,
91031000,Electrically operated,current,
48026900,Other,current,
29124900,Other,current,
52091100,Plain weave,current,
38040000,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates, but excluding tall oil of heading 3803",current,
54079200,Dyed,current,
52063400,"Measuring per single yarn less than 192,31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn)",current,
07092000,Asparagus,current,
84659900,Other,current,
84622900,Other,current,
41062100,In the wet state (including wet-blue),current,
55141100,"Of polyester staple fibres, plain weave",current,
95064000,Articles and equipment for table tennis,current,
52094100,Plain weave,current,
55132100,"Of polyester staple fibres, plain weave",current,
51040000,Garnetted stock of wool or of fine or coarse animal hair,current,
73211900,"Other, including appliances for solid fuel",current,
52093200,"3-thread or 4-thread twill, including cross twill",current,
54074400,Printed,current,
38273100,Containing substances of subheadings 290341 to 290348,current,
29155000,"Propionic acid, its salts and esters",current,
60019900,Of other textile materials,current,
84797100,Of a kind used in airports,current,
58012100,Uncut weft pile fabrics,current,
86061000,Tank wagons and the like,current,
41133000,Of reptiles,current,
12071000,Palm nuts and kernels,current,
84302000,Snowploughs and snowblowers,current,
84194000,Distilling or rectifying plant,current,
91122000,Cases,current,
01019000,Other,current,
87131000,Not mechanically propelled,current,
86040000,"Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles)",current,
52071000,Containing 85 % or more by weight of cotton,current,
39075000,Alkyd resins,current,
38273900,Other,current,
29171200,"Adipic acid, its salts and esters",current,
62041200,Of cotton,current,
81125200,Waste and scrap,current,
38151200,With precious metal or precious-metal compounds as the active substance,current,
57033100,Turf,current,
54079400,Printed,current,
40101900,Other,current,
72192300,"Of a thickness of 3 mm or more but less than 4,75 mm",current,
84324100,Manure spreaders,current,
85078000,Other accumulators,current,
37032000,"Other, for colour photography (polychrome)",current,
24049900,Other,current,
81099100,Containing less than 1 part hafnium to 500 part zirconium by weight,current,
34049000,Other,current,
69099000,Other,current,
85069000,Parts,current,
38249200,Polyglycol esters of methylphosphonic acid,current,
84741000,"Sorting, screening, separating or washing machines",current,
34054000,Scouring pastes and powders and other scouring preparations,current,
93052000,Of shotguns or rifles of heading 9303,current,
39209200,Of polyamides,current,
30069200,Waste pharmaceuticals,current,
94012000,Seats of a kind used for motor vehicles,current,
74112200,Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver),current,
84592100,Numerically controlled,current,
54023300,Of polyesters,current,
52052400,"Measuring less than 192,31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number)",current,
28332400,Of nickel,current,
62045100,Of wool or fine animal hair,current,
44032400,"Of fir (Abies spp.) and spruce (Picea spp.), other",current,
85381000,"Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 8537, not equipped with their apparatus",current,
90251900,Other,current,
39051200,In aqueous dispersion,current,
96020000,"Worked vegetable or mineral carving material and articles of these materials; moulded or carved articles of wax, of stearin, of natural gums or natural resins or of modelling pastes, and other moulded or carved articles, not elsewhere specified or included; worked, unhardened gelatin (except gelatin of heading 3503) and articles of unhardened gelatin",current,
74091100,In coils,current,
54041100,Elastomeric,current,
88024000,"Aeroplanes and other aircraft, of an unladen weight exceeding 15000 kg",current,
55164300,Of yarns of different colours,current,
52114300,"Other fabrics of 3-thread or 4-thread twill, including cross twill",current,
29372100,"Cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",current,
68022100,"Marble, travertine and alabaster",current,
39161000,Of polymers of ethylene,current,
31010000,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products",current,
38275100,Containing trifluoromethane (HFC-23),current,
70111000,For electric lighting,current,
29039100,"Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene",current,
60064400,Printed,current,
39042100,Non-plasticised,current,
73221900,Other,current,
44012100,Coniferous,current,
85249100,Of liquid crystals,current,
83071000,Of iron or steel,current,
03069400,Norway lobsters (Nephrops norvegicus),current,
48171000,Envelopes,current,
55012000,Of polyesters,current,
84369900,Other,current,
54026100,Of nylon or other polyamides,current,
70023900,Other,current,
29242100,Ureines and their derivatives; salts thereof,current,
62082900,Of other textile materials,current,
52054800,"Measuring per single yarn less than 83,33 decitex (exceeding 120 metric number per single yarn)",current,
74031900,Other,current,
72029200,Ferro-vanadium,current,
85232100,Cards incorporating a magnetic stripe,current,
61082100,Of cotton,current,
94038200,Of bamboo,current,
61142000,Of cotton,current,
63041100,Knitted or crocheted,current,
38256900,Other,current,
62063000,Of cotton,current,
81029500,"Bars and rods, other than those obtained simply by sintering, profiles, plates, sheets, strip and foil",current,
84679200,Of pneumatic tools,current,
49040000,"Music, printed or in manuscript, whether or not bound or illustrated",current,
84313100,"Of lifts, skip hoists or escalators",current,
68061000,"Slag-wool, rock-wool and similar mineral wools (including intermixtures thereof), in bulk, sheets or rolls",current,
84433900,Other,current,
39206100,Of polycarbonates,current,
29051100,Methanol (methyl alcohol),current,
33049900,Other,current,
84219100,"Of centrifuges, including centrifugal dryers",current,
93011000,"Artillery weapons (for example, guns, howitzers and mortars)",current,
82119500,Handles of base metal,current,
84802000,Mould bases,current,
62105000,Other women's or girls' garments,current,
73194000,Safety pins and other pins,current,
28141000,Anhydrous ammonia,current,
44130000,"Densified wood, in blocks, plates, strips or profile shapes",current,
28142000,Ammonia in aqueous solution,current,
44071300,"Of S-P-F (spruce (Picea spp.), pine (Pinus spp.) and fir (Abies spp.))",current,
94014900,Other,current,
52093100,Plain weave,current,
49100000,"Calendars of any kind, printed, including calendar blocks",current,
44121000,Of bamboo,current,
60062100,Unbleached or bleached,current,
90303900,"Other, with a recording device",current,
73049000,Other,current,
48051200,Straw fluting paper,current,
40093100,Without fittings,current,
55041000,Of viscose rayon,current,
52085100,"Plain weave, weighing not more than 100 g/m2",current,
38273200,"Other, containing substances of subheadings 290371 to 290375",current,
48061000,Vegetable parchment,current,
38271400,"Containing 1,1,1-trichloroethane (methyl chloroform)",current,
96083000,"Fountain pens, stylograph pens and other pens",current,
88062300,With maximum take-off weight more than 7 kg but not more than 25 kg,current,
93062100,Cartridges,current,
55164100,Unbleached or bleached,current,
97012900,Other,current,
75071100,"Of nickel, not alloyed",current,
61121200,Of synthetic fibres,current,
31031100,Containing by weight 35 % or more of diphosphorus pentaoxide (P2O5),current,
62031100,Of wool or fine animal hair,current,
29241900,Other,current,
94015300,Of rattan,current,
60052200,Dyed,current,
95082600,Water park amusements,current,
39211100,Of polymers of styrene,current,
34024200,Non-ionic,current,
84362900,Other,current,
48221000,Of a kind used for winding textile yarn,current,
96110000,"Date, sealing or numbering stamps, and the like (including devices for printing or embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing sticks",current,
62033100,Of wool or fine animal hair,current,
28046900,Other,current,
95082900,Other,current,
38276100,"Containing 15 % or more by mass of 1,1,1-trifluoroethane (HFC-143a)",current,
84752100,Machines for making optical fibres and preforms thereof,current,
36035000,Igniters,current,
37025200,Of a width not exceeding 16 mm,current,
16041800,Shark fins,current,
84223000,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; machinery for aerating beverages",current,
26169000,Other,current,
33071000,"Pre-shave, shaving or aftershave preparations",current,
55011100,Of aramids,current,
69149000,Other,current,
50020000,Raw silk (not thrown),current,
69074000,Finishing ceramics,current,
62113900,Of other textile materials,current,
66011000,Garden or similar umbrellas,current,
81059000,Other,current,
62114900,Of other textile materials,current,
29337900,Other lactams,current,
55162100,Unbleached or bleached,current,
25249000,Other,current,
72259200,Otherwise plated or coated with zinc,current,
02041000,"Carcases and half-carcases of lamb, fresh or chilled",current,
38101000,"Pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials",current,
61045300,Of synthetic fibres,current,
69109000,Other,current,
52064500,Measuring per single yarn less than 125 decitex (exceeding 80 metric number per single yarn),current,
82029100,"Straight saw blades, for working metal",current,
41069100,In the wet state (including wet-blue),current,
84482000,Parts and accessories of machines of heading 8444 or of their auxiliary machinery,current,
85021200,Of an output exceeding 75 kVA but not exceeding 375 kVA,current,
12076000,Safflower (Carthamus tinctorius) seeds,current,
71039100,"Rubies, sapphires and emeralds",current,
84688000,Other machinery and apparatus,current,
91059100,Electrically operated,current,
75061000,"Of nickel, not alloyed",current,
47041100,Coniferous,current,
01064900,Other,current,
47042100,Coniferous,current,
51051000,Carded wool,current,
72292000,Of silico-manganese steel,current,
81029900,Other,current,
39052900,Other,current,
85052000,"Electromagnetic couplings, clutches and brakes",current,
61042200,Of cotton,current,
86072900,Other,current,
52103100,Plain weave,current,
72084000,"Not in coils, not further worked than hot-rolled, with patterns in relief",current,
93033000,"Other sporting, hunting or target-shooting rifles",current,
84797900,Other,current,
69072100,"Of a water absorption coefficient by weight not exceeding 0,5 %",current,
90064000,Instant print cameras,current,
41063100,In the wet state (including wet-blue),current,
62093000,Of synthetic fibres,current,
85492100,"Containing primary cells, primary batteries, electric accumulators, mercury-switches, glass from cathode-ray tubes or other activated glass, or electrical or electronic components containing cadmium, mercury, lead or polychlorinated biphenyls (PCBs)",current,
20055900,Other,current,
33069000,Other,current,
03071900,Other,current,
44188900,Other,current,
68079000,Other,current,
40081100,"Plates, sheets and strip",current,
62044400,Of artificial fibres,current,
83052000,Staples in strips,current,
85442000,Coaxial cable and other coaxial electric conductors,current,
54022000,"High tenacity yarn of polyesters, whether or not textured",current,
84099900,Other,current,
53092100,Unbleached or bleached,current,
81029700,Waste and scrap,current,
85153100,Fully or partly automatic,current,
71023100,"Unworked or simply sawn, cleaved or bruted",current,
55063000,Acrylic or modacrylic,current,
34039900,Other,current,
43040000,Artificial fur and articles thereof,current,
73141200,"Endless bands for machinery, of stainless steel",current,
84361000,Machinery for preparing animal feedingstuffs,current,
82016000,"Hedge shears, two-handed pruning shears and similar two-handed shears",current,
67042000,Of human hair,current,
84625100,Numerically controlled,current,
91118000,Other cases,current,
07135000,"Broad beans (Vicia faba var. major) and horse beans (Vicia faba var.equina, Vicia faba var. minor)",current,
28051100,Sodium,current,
72162200,T sections,current,
73145000,Expanded metal,current,
48232000,Filter paper and paperboard,current,
29333700,N-Phenethyl-4-piperidone (NPP),current,
51100000,"Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale",current,
35061000,"Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg",current,
29301000,"2-(N,N-Dimethylamino) ethanethiol",current,
73259100,Grinding balls and similar articles for mills,current,
28371100,Of sodium,current,
72272000,Of silico-manganese steel,current,
40131000,"Of a kind used on motor cars (including station wagons and racing cars), buses or lorries",current,
54023400,Of polypropylene,current,
29222100,Aminohydroxynaphthalenesulphonic acids and their salts,current,
60053600,"Other, unbleached or bleached",current,
54024400,Elastomeric,current,
48192000,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard",current,
84551000,Tube mills,current,
82142000,Manicure or pedicure sets and instruments (including nail files),current,
03022400,Turbots (Psetta maxima),current,
69119000,Other,current,
76069200,Of aluminium alloys,current,
84771000,Injection-moulding machines,current,
85431000,Particle accelerators,current,
71049100,Diamonds,current,
29035100,"2,3,3,3-Tetrafluoropropene (HFO-1234yf), 1,3,3,3-tetrafluoropropene (HFO-1234ze) and (Z)-1,1,1,4,4,4-hexafluoro-2-butene (HFO-1336mzz)",current,
29214200,Aniline derivatives and their salts,current,
39042200,Plasticised,current,
26139000,Other,current,
29329600,Carbofuran (ISO),current,
81019700,Waste and scrap,current,
74152900,Other,current,
38256100,Mainly containing organic constituents,current,
36036000,Electric detonators,current,
48081000,"Corrugated paper and paperboard, whether or not perforated",current,
44191900,Other,current,
71102900,Other,current,
84714900,"Other, presented in the form of systems",current,
85182900,Other,current,
70197200,Other closed fabrics,current,
84624200,Numerically controlled,current,
33052000,Preparations for permanent waving or straightening,current,
73160000,"Anchors, grapnels and parts thereof, of iron or steel",current,
75072000,Tube or pipe fittings,current,
85114000,Starter motors and dual purpose starter-generators,current,
83024900,Other,current,
73219000,Parts,current,
48142000,"Wallpaper and similar wallcoverings, consisting of paper coated or covered, on the face side, with a grained, embossed, coloured, design-printed or otherwise decorated layer of plastics",current,
84378000,Other machinery,current,
48054000,Filter paper and paperboard,current,
40091100,Without fittings,current,
73152000,Skid chain,current,
29400000,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 2937, 2938 or 2939",current,
85017100,Of an output not exceeding 50 W,current,
58063900,Of other textile materials,current,
52053400,"Measuring per single yarn less than 192,31 decitex but not less than 125 decitex (exceeding 52 metric number but not exceeding 80 metric number per single yarn)",current,
40023100,Isobutene-isoprene (butyl) rubber (IIR),current,
44219100,Of bamboo,current,
52114200,Denim,current,
62111200,Women's or girls',current,
84392000,Machinery for making paper or paperboard,current,
73182100,Spring washers and other lock washers,current,
33074100,Agarbatti and other odoriferous preparations which operate by burning,current,
89079000,Other,current,
44187500,"Other, multilayer",current,
90118000,Other microscopes,current,
29142300,Ionones and methylionones,current,
62179000,Parts,current,
29072300,"4,4′-Isopropylidenediphenol (bisphenol A, diphenylolpropane) and its salts",current,
71159000,Other,current,
72193100,"Of a thickness of 4,75 mm or more",current,
29307000,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),current,
84306900,Other,current,
84068200,Of an output not exceeding 40 MW,current,
29211100,"Methylamine, di- or trimethylamine and their salts",current,
90021900,Other,current,
90291000,"Revolution counters, production counters, taximeters, milometers, pedometers and the like",current,
62142000,Of wool or fine animal hair,current,
52093900,Other fabrics,current,
68151100,Carbon fibres,current,
85103000,Hair-removing appliances,current,
43019000,"Heads, tails, paws and other pieces or cuttings, suitable for furriers' use",current,
74121000,Of refined copper,current,
81123100,Unwrought; waste and scrap; powders,current,
85075000,Nickel-metal hydride,current,
29173700,Dimethyl terephthalate,current,
09051000,Neither crushed nor ground,current,
29329100,Isosafrole,current,
38229000,Other,current,
29039200,"Hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)",current,
44188300,I beams,current,
44039300,"Of beech (Fagus spp.), of which the smallest cross-sectional dimension is 15 cm or more",current,
51013000,Carbonised,current,
52029900,Other,current,
72259100,Electrolytically plated or coated with zinc,current,
73159000,Other parts,current,
82130000,"Scissors, tailors' shears and similar shears, and blades therefor",current,
73239100,"Of cast iron, not enamelled",current,
85451100,Of a kind used for furnaces,current,
96063000,Button moulds and other parts of buttons; button blanks,current,
75052200,Of nickel alloys,current,
58042100,Of man-made fibres,current,
28129000,Other,current,
03033200,Plaice (Pleuronectes platessa),current,
94061000,Of wood,current,
71059000,Other,current,
28529000,Other,current,
72123000,Otherwise plated or coated with zinc,current,
29314800,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",current,
29042000,Derivatives containing only nitro or only nitroso groups,current,
55069000,Other,current,
82071300,With working part of cermets,current,
63049200,"Not knitted or crocheted, of cotton",current,
68132000,Containing asbestos,current,
52082900,Other fabrics,current,
52111200,"3-thread or 4-thread twill, including cross twill",current,
28401100,Anhydrous,current,
85452000,Brushes,current,
81053000,Waste and scrap,current,
72104100,Corrugated,current,
95061200,Ski-fastenings (ski-bindings),current,
45020000,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",current,
72025000,Ferro-silico-chromium,current,
40012100,Smoked sheets,current,
55099100,Mixed mainly or solely with wool or fine animal hair,current,
26131000,Roasted,current,
73053100,Longitudinally welded,current,
30043100,Containing insulin,current,
29061900,Other,current,
90308400,"Other, with a recording device",current,
01051500,Guinea fowls,current,
30036000,"Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",current,
48045200,Bleached uniformly throughout the mass and of which more than 95 % by weight of the total fibre content consists of wood fibres obtained by a chemical process,current,
90012000,Sheets and plates of polarising material,current,
29054200,Pentaerythritol,current,
29334100,Levorphanol (INN) and its salts,current,
84433100,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data-processing machine or to a network",current,
60053700,"Other, dyed",current,
62104000,Other men's or boys' garments,current,
84021100,Watertube boilers with a steam production exceeding 45 tonnes per hour,current,
29221400,Dextropropoxyphene (INN) and its salts,current,
90141000,Direction finding compasses,current,
68091100,Faced or reinforced with paper or paperboard only,current,
39252000,"Doors, windows and their frames and thresholds for doors",current,
29372200,Halogenated derivatives of corticosteroidal hormones,current,
29153900,Other,current,
90275000,"Other instruments and apparatus using optical radiation (UV, visible, IR)",current,
29394300,Cathine (INN) and its salts,current,
29181600,"Gluconic acid, its salts and esters",current,
84829900,Other,current,
29375000,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",current,
48044900,Other,current,
55092100,Single yarn,current,
85321000,"Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0,5 kvar (power capacitors)",current,
29124100,Vanillin (4-hydroxy-3-methoxybenzaldehyde),current,
90304000,"Other instruments and apparatus, specially designed for telecommunications (for example, cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)",current,
68022900,Other stone,current,
60012900,Of other textile materials,current,
47041900,Non-coniferous,current,
34011100,For toilet use (including medicated products),current,
52092200,"3-thread or 4-thread twill, including cross twill",current,
37011000,For X-ray,current,
85407900,Other,current,
38248600,Containing pentachlorobenzene (ISO) or hexachlorobenzene (ISO),current,
82023100,With working part of steel,current,
57042000,"Tiles, having a maximum surface area exceeding 0,3 m2, but not exceeding 1 m2",current,
70196400,"Closed woven fabrics, plain weave, of yarns, coated or laminated",current,
83119000,Other,current,
84359000,Parts,current,
28211000,Iron oxides and hydroxides,current,
12059000,Other,current,
63061200,Of synthetic fibres,current,
44039100,Of oak (Quercus spp.),current,
42032100,Specially designed for use in sports,current,
85163100,Hairdryers,current,
71110000,"Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured",current,
64051000,With uppers of leather or composition leather,current,
55039000,Other,current,
84659400,Bending or assembling machines,current,
61081900,Of other textile materials,current,
81093900,Other,current,
72151000,"Of free-cutting steel, not further worked than cold-formed or cold-finished",current,
70112000,For cathode-ray tubes,current,
61082900,Of other textile materials,current,
40051000,Compounded with carbon black or silica,current,
30067000,Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,current,
73072100,Flanges,current,
39140000,"Ion-exchangers based on polymers of headings 3901 to 3913, in primary forms",current,
84163000,"Mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances",current,
90022000,Filters,current,
70140000,"Signalling glassware and optical elements of glass (other than those of heading 7015), not optically worked",current,
84451100,Carding machines,current,
74101100,Of refined copper,current,
55091200,Multiple (folded) or cabled yarn,current,
39021000,Polypropylene,current,
66019100,Having a telescopic shaft,current,
75051100,"Of nickel, not alloyed",current,
62045200,Of cotton,current,
89080000,Vessels and other floating structures for breaking up,current,
90303200,"Multimeters, with a recording device",current,
85408100,Receiver or amplifier valves and tubes,current,
57031000,Of wool or fine animal hair,current,
81021000,Powders,current,
29181800,Chlorobenzilate (ISO),current,
95071000,Fishing rods,current,
60012100,Of cotton,current,
71101100,Unwrought or in powder form,current,
84861000,Machines and apparatus for the manufacture of boules or wafers,current,
85447000,Optical fibre cables,current,
29071100,Phenol (hydroxybenzene) and its salts,current,
29270000,"Diazo-, azo- or azoxy-compounds",current,
84852000,By plastics or rubber deposit,current,
84791000,"Machinery for public works, building or the like",current,
72103000,Electrolytically plated or coated with zinc,current,
60034000,Of artificial fibres,current,
29189100,"2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",current,
47031900,Non-coniferous,current,
29163200,Benzoyl peroxide and benzoyl chloride,current,
87099000,Parts,current,
82056000,Blowlamps,current,
84511000,Dry-cleaning machines,current,
87039000,Other,current,
87149300,"Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",current,
76101000,"Doors, windows and their frames and thresholds for doors",current,
24049200,For transdermal application,current,
85284200,Capable of directly connecting to and designed for use with an automatic data processing machine of heading 8471,current,
08071100,Watermelons,current,
85024000,Electric rotary converters,current,
82041100,Non-adjustable,current,
68118200,"Other sheets, panels, tiles and similar articles",current,
71142000,Of base metal clad with precious metal,current,
85015100,Of an output not exceeding 750 W,current,
95063200,Balls,current,
91021100,With mechanical display only,current,
82052000,Hammers and sledge hammers,current,
76121000,Collapsible tubular containers,current,
72181000,Ingots and other primary forms,current,
52113900,Other fabrics,current,
84119900,Other,current,
29395100,Fenetylline (INN) and its salts,current,
73158900,Other,current,
38243000,Non-agglomerated metal carbides mixed together or with metallic binders,current,
29251200,Glutethimide (INN),current,
41039000,Other,current,
28321000,Sodium sulphites,current,
65040000,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed",current,
30021400,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",current,
55096200,Mixed mainly or solely with cotton,current,
85493900,Other,current,
28332500,Of copper,current,
85308000,Other equipment,current,
84409000,Parts,current,
85309000,Parts,current,
94038300,Of rattan,current,
40040000,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom",current,
72039000,Other,current,
32065000,Inorganic products of a kind used as luminophores,current,
52053500,Measuring per single yarn less than 125 decitex (exceeding 80 metric number per single yarn),current,
90181200,Ultrasonic scanning apparatus,current,
84369100,Of poultry-keeping machinery or poultry incubators and brooders,current,
29349100,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts thereof",current,
64031900,Other,current,
32021000,Synthetic organic tanning substances,current,
48084000,"Kraft paper, creped or crinkled, whether or not embossed or perforated",current,
48205000,Albums for samples or for collections,current,
90328900,Other,current,
47069200,Chemical,current,
81125900,Other,current,
39173900,Other,current,
29163400,Phenylacetic acid and its salts,current,
84251900,Other,current,
72085400,Of a thickness of less than 3 mm,current,
94059200,Of plastics,current,
96061000,"Press-fasteners, snap-fasteners and press studs and parts therefor",current,
48103900,Other,current,
70172000,Of other glass having a linear coefficient of expansion not exceeding 5 × 10–6 per Kelvin within a temperature range of 0 °C to 300 °C,current,
84303100,Self-propelled,current,
62071100,Of cotton,current,
84351000,Machinery,current,
84224000,Other packing or wrapping machinery (including heat-shrink wrapping machinery),current,
32041300,Basic dyes and preparations based thereon,current,
62152000,Of man-made fibres,current,
48025700,"Other, weighing 40 g/m2 or more but not more than 150 g/m2",current,
84342000,Dairy machinery,current,
62132000,Of cotton,current,
71132000,Of base metal clad with precious metal,current,
71039900,Other,current,
63059000,Of other textile materials,current,
97069000,Other,current,
62159000,Of other textile materials,current,
55162400,Printed,current,
07103000,"Spinach, New Zealand spinach and orache spinach (garden spinach)",current,
84862000,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,current,
29146100,Anthraquinone,current,
90079100,For cameras,current,
29321900,Other,current,
49029000,Other,current,
29329200,"1-(1,3-Benzodioxol-5-yl)propan-2-one",current,
29147100,Chlordecone (ISO),current,
39100000,Silicones in primary forms,current,
52062100,"Measuring 714,29 decitex or more (not exceeding 14 metric number)",current,
85176200,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",current,
72023000,Ferro-silico-manganese,current,
47032900,Non-coniferous,current,
84742000,Crushing or grinding machines,current,
60054100,Unbleached or bleached,current,
11090000,"Wheat gluten, whether or not dried",current,
56012900,Other,current,
84633000,Machines for working wire,current,
39043000,Vinyl chloride-vinyl acetate copolymers,current,
38231300,Tall oil fatty acids,current,
72043000,Waste and scrap of tinned iron or steel,current,
97053100,Of an age exceeding 100 years,current,
84286000,"Teleferics, chairlifts, ski-draglines; traction mechanisms for funiculars",current,
05059000,Other,current,
10029000,Other,current,
55095300,Mixed mainly or solely with cotton,current,
64019900,Other,current,
61079100,Of cotton,current,
26161000,Silver ores and concentrates,current,
84612000,Shaping or slotting machines,current,
34011900,Other,current,
40081900,Other,current,
84562000,Operated by ultrasonic processes,current,
03038200,Rays and skates (Rajidae),current,
78041900,Other,current,
69141000,Of porcelain or china,current,
85333100,For a power handling capacity not exceeding 20 W,current,
08028000,Areca nuts,current,
85152900,Other,current,
55142900,Other woven fabrics,current,
70191100,"Chopped strands, of a length of not more than 50 mm",current,
72028000,Ferro-tungsten and ferro-silico-tungsten,current,
39162000,Of polymers of vinyl chloride,current,
55099200,Mixed mainly or solely with cotton,current,
07109000,Mixtures of vegetables,current,
56013000,Textile flock and dust and mill neps,current,
85394900,Other,current,
40103200,"Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm",current,
72083600,Of a thickness exceeding 10 mm,current,
90302000,Oscilloscopes and oscillographs,current,
40024100,Latex,current,
73144200,Coated with plastics,current,
84341000,Milking machines,current,
55013000,Acrylic or modacrylic,current,
58043000,Handmade lace,current,
91099000,Other,current,
84804900,Other,current,
72022100,Containing by weight more than 55 % of silicon,current,
96170000,"Vacuum flasks and other vacuum vessels, complete; parts thereof other than glass inners",current,
65010000,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt",current,
76081000,"Of aluminium, not alloyed",current,
92019000,Other,current,
40025900,Other,current,
62141000,Of silk or silk waste,current,
51052900,Other,current,
12129400,Chicory roots,current,
84431700,Gravure printing machinery,current,
85076000,Lithium-ion,current,
49081000,"Transfers (decalcomanias), vitrifiable",current,
44191100,"Bread boards, chopping boards and similar boards",current,
29105000,Endrin (ISO),current,
39049000,Other,current,
87168000,Other vehicles,current,
